```
	HSA Compatible	No
Spouse Coverage	Available
Dependent Child(ren) Coverage	Available
Pre-Existing Condition Period/Pre-Existing Condition Exclusion Period	Not applicable
Pregnancy Coverage	Included
Hospital Admission Benefit	$750 per day; max of 1 day(s)
Hospital Confinement Benefit	$200 per day; max of 30 day(s)
Intensive Care Unit Admission Benefit	$1,500 per day; max of 1 day(s)
Intensive Care Unit Benefit	$350 per day; max of 30 day(s)
Accident & Sickness Surgery Benefit	
Inpatient Surgery	$500 per day; max of 1 day(s)
Outpatient Surgery in a Hospital, Outpatient Facility or Freestanding Outpatient Surgery Center	$300 per day; max of 1 day(s)
General Anesthesia Benefit	$125 per day
Outpatient Accident & Sickness Treatment Benefit	
Emergency Room	$200 per day; max of 2 day(s)
Urgent Care Facility	$50 per day; max of 3 day(s)
Physician’s Office	$50 per day; max of 3 day(s)
Physical, Speech or Occupational Therapy Facility	$15 per day; max of 5 day(s)
```
