```
Description of Association Member Benefit Package	Basic Core	Basic Core Plus
Medical Bill Repricing $25 Prepay Doctor Visits	Included	Included
Reference Based Pricing Reducing Medical Providers Rates	Included	Included
Advocacy/Concierge Service Personal help in navigating your health plan, filing claims and repricing network reductions	Included	Included
No Cost Virtual Doctor Visits Unlimited Virtual Doctor Consultations	—	Included
FREE Prescription Club 90% of Most Commonly Prescribed Medications FREE!	—	Included
Prescription Program - Discount prescription card that can be used at over 60,000 pharmacies nationwide and will give members up to 60% discounts on their prescription medications.	Included	Included
Mail Order Pharmacy Savings of up to 80% on prescription medication, delivered free and to your doorstep.	Included	Included
Entertainment Package Theme Parks, Movie Tickets, Vacation Packages, Cruise Excursions, Airline Tickets, Car Rental, Ski Lodge, Disney World, Six Flags, Sea World	Included	Included
Direct Lab Testing Lab testing discounts of up to 80% . Blood tests of urine, hair, for virus, flu, covid, rashes, for disease identification. Starts as low as $5.00.	—	Included
Pryor Learning Business training for communication, Excel, HR, leadership, Project Management, , certification in many professional fields.	—	Included
MRI and CT Scans Members save 40% to 75% on usual charges for MRI and CT Scans at thousands of credentialed radiology centers nationwide. Members are referred to a certified radiologist based on condition, preferences and location.	—	Included
Diabetic Supplies Members get 60% off average retail prices and free shipping on all packages, and an extra 15% off any single order item.	—	Included
Medical Supplies Members who need medical supplies, such as bandages, beds, wheel chairs, walkers, oxygen tanks, etc. can save from 25% to 50% .	—	Included
Online Health Manager Health aid diet planning, fitness training , food nutritional guidance, and much more.	—	Included
Online Fitness & Nutrition Customized Fitness Program on-line, with personal trainers, progress monitoring, plan guides and nutrition plans.	—	Included
Alternative Wellness 25% or more discounted service fees on Alternative Wellness Medicines and Services, such as: Physical Therapist, Chiropractor, Nutrition Counselor, Massage Therapist, Acupuncturist Herbal Medicine, Yoga Training, Tai Chi Schools	—	Included
```
