```
Description of Association Member Benefit Package	Basic Bundle	OneCard Doctor Bundle
Medical Bill Repricing	Included	Included
$25 Prepay Doctor Visits		
Reference Based Pricing	Included	Included
Reducing Medical Providers Rates		
Advocacy/Concierge Service	Included	Included
Personal help in navigating your health plan, filing claims and repricing network reductions		
No Cost Virtual Doctor Visits	—	Included
Unlimited Virtual Doctor Consultations		
FREE Prescription Club	—	included
90% of Most Commonly Prescribed Medications FREE!		
Prescription Program	included	included
Mail Order Pharmacy	included	included
Entertainment Package	included	included
Direct Lab Testing	—	included
Pryor Learning	—	included
MRI and CT Scans	—	included
Diabetic Supplies	—	included
Medical Supplies	—	included
Online Health Manager	—	included
Online Fitness & Nutrition	—	included
Alternative Wellness	—	included
```
