```
	Plan 500	Plan 750	Plan 1000	Plan 1000+
Benefit Eligibility				
Pre-existing Condition Limitation	12-12 Pre-Existing Conditions	12-12 Pre-Existing Conditions	12-12 Pre-Existing Conditions	12-12 Pre-Existing Conditions
Underwriting Level	Guaranteed Issue	Guaranteed Issue	Guaranteed Issue	Guaranteed Issue
Confinement Benefits	30 Days Per Confinement/ 90 Days Per Certificate Year	30 Days Per Confinement/ 90 Days Per Certificate Year	30 Days Per Confinement/ 90 Days Per Certificate Year	30 Days Per Confinement/ 90 Days Per Certificate Year
Hospital Confinement	$500	$750	$1000	$1000
ICU Confinement	$500	$750	$1000	$1000
Hospital Benefits				
Hospital Admission	N/A	N/A	N/A	$1,000
Emergency Room	$50	$75	$100	$100
Procedure Benefits				
Surgery	Surgery-3 maximum days per certificate year (maximum days are shared between inpatient and outpatient)	Surgery-3 maximum days per certificate year (maximum days are shared between inpatient and outpatient)	Surgery-3 maximum days per certificate year (maximum days are shared between inpatient and outpatient)	Surgery-3 maximum days per certificate year (maximum days are shared between inpatient and outpatient)
Surgery	Combined Inpatient & Outpatient, $350 per day	Combined Inpatient & Outpatient, $400 per day	Combined Inpatient & Outpatient, $500 per day	Combined Inpatient & Outpatient, $500 per day
Anesthesia	25%	25%	25%	25%
Outpatient Benefits				
Lab	$50	$50	$75	$100
X-Rays	$50	$50	$75	$100
Advanced Diagnostic	$50	$50	$75	$100
Physician's Office	$50	$50	$75	$75
```
