```
Location	Item	Retail	Member price	Savings - %
Exact Eye Care Kearney, NE	Frame Single Vision w/ Polycarbonate	$129.00	$90.30	$38.70 – 30%
		$297.00	$207.90	$89.10 – 30%
LensCrafters Mesa, AZ	Frame Single Vision w/ Photo Flextint	$149.95	$104.96	$44.99 – 30%
		$225.00	$157.58	$67.50 – 30%
JC Penney Michigan	Frame Single Vision w/ Polycarbonate & AR Contact Lenses	$229.95	$149.47	$79.98 – 35%
		$208.00	$100.00	$108.00 – 52%
		$90.00	$72.00	$18.00 – 20%
Pearle Vision National City, CA	Frame Single Vision w/ Scratch Coat	$59.95	$30.00	$29.95 – 50%
		$109.00	$55.00	$54.00 – 50%
EyeMaster Henderson, NV	Frame Single Vision w/ Polycarbonate	$99.95	$69.96	$29.99 – 30%
		$149.98	$104.99	$44.99 – 30%
```
