```
Commonly ordered brand-name medications
Medication	Price
Abilify 10mg	$160
Advair Diskus 50/250mcg 180 doses	$144
Cymbalta 20mg	$149
Eliquis 5mg 180 tabs	$236
Januvia 100mg	$170
Jardiance 25mg	$260
Lyrica 50mg 60 tabs	$170
Premarin 0.625mg	$88
Spiriva 18MCG	$250
Symbicort 160/6MCG 360 doses	$145
Wellbutrin XL 150mg	$130
Xarelto 20mg	$210

Commonly ordered generic medications
Medication	Price
Amlodipine 10mg	$20
Lisinopril 20mg	$22
Metformin ER 500mg	$23
Montelukast 10mg	$27
Omeprazole 20mg	$25
Pravastatin 20mg	$33
```
